ukbench00000.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1939.80217187,62.5688655602,2158.63917969,2227.65248437,100.763532884,18.1634950893,11.7643327775,28.0952799888,146.687061202,2166.7463125,2058.24416406,234.79983313,95.5393400797,-17.7043307057,2.61980852721,6.26026138181,-14.2249389327,10.5004880082,149.236006875,224.852487768,2299.841625,2410.44285156,182.801978959,136.477586655,-80.4663588358,-20.1046036338,26.2583732972,10.4145763797,1.87712442634,0.270484457738,-21.6308533608,61.2697198326,-23.9881120738,81.0193426341,98.9857399047,2528.74945312,108.205974014,118.005544604,-19.4219258274,41.2986765164,11.1929689767,9.4922691801,-15.6493568247,38.3558005049,-69.5402583839,41.5201202649,57.9309604856,63.0768589131,-15.7391694569,45.6533790368,-22.8944768661,45.1049290352,-28.4962743615,31.4629446429,60.9670425611,12.4410438241,-18.7599015687,-17.1678123948,-22.4069614918,-22.9365320718,15.4232151603,-8.92195184358,-14.5528585354,6.49536325908
1,2006.06638281,16.4443261964,1990.79300781,2041.17978125,16.1623682341,14.090175364,0.860151314542,11.1704380232,-10.1151834479,2107.0709375,2139.95653125,-12.3072058632,-21.3856202358,7.10868021255,2.69419284603,2.40160597232,-0.201906607387,63.9103002356,-39.1704874428,-5.90554125994,2196.81057031,2124.04664062,42.5471782805,-18.8363655471,-10.903547361,-1.71550734242,-8.82836364523,2.02131512304,0.0281578588077,3.6761414846,-25.8459656374,-4.51906419585,-44.5593855385,-47.7625738209,53.6621088696,2070.62997656,24.3818168959,-39.5508662106,25.3538065506,26.6383697288,43.7615359933,19.2366962569,6.68303772476,-6.65802375297,-36.9870645382,39.0662763403,-19.4174008036,-35.2874807505,6.93862531595,3.78335990338,8.30762079547,-43.8557283864,-22.0386106135,22.7813249808,41.6012510269,-46.2272462188,1.51985825012,-2.70961661269,-2.46330980524,-3.90398603936,-10.6567812947,8.55346602898,3.21855248402,3.6187408331
2,2068.93307031,-6.94551656414,2082.20972656,2001.7865,-2.76695566111,-9.38069716689,-1.81663361883,-4.88465137975,33.2912051981,1922.1628125,1896.059375,20.7788521713,40.7084433038,-6.37965318145,-1.02518882301,-2.80187649805,-1.14127586911,-80.3864703997,50.8706095762,-1.75455238976,1808.77288281,1921.06264063,-44.534961793,-5.87402027076,33.0522136176,13.7812460003,7.75903603148,-0.569331413124,1.43733227086,-1.86866743191,38.0833858747,-7.48387454101,90.8530976674,65.6795063073,-55.5505174022,2025.22478906,-15.4391159316,71.188941527,-3.3272576481,-35.4458929215,-75.5001052561,-34.4353506823,-4.64555560878,1.25709548463,61.2912908815,-46.0263422817,40.1421591816,56.0871935597,-5.04058191812,2.29672116998,-7.22154897374,52.1029108536,66.3802896946,-45.1870923654,-74.7543682802,62.9574754342,-2.76407795388,4.55002773888,0.813079335949,0.499397552659,-8.706782273,-15.9642227876,-8.43427265443,-7.55658070852
ukbench00001.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2047.51247656,-8.1830126745,2017.66989062,1852.41161719,77.9205316818,-30.8809109454,-5.36176947601,-0.847163213579,127.618285958,2009.28089844,2208.9935,125.442125355,154.631012486,-8.63821836863,-12.7200941683,-2.56291813202,-10.8739433238,-81.0059357895,86.081916414,69.9039137873,2335.97585937,2389.84466406,139.735640124,66.8372468595,-44.4943536877,7.13308881056,4.84254121503,-4.87866690031,-2.2098178872,-1.46460350482,49.3331828354,59.371320426,26.7371773736,25.855581251,195.785944466,2604.17133594,70.8334219004,-12.9731685051,35.9204018544,-62.7490203644,-7.74972844949,-24.7361710458,-11.2496799702,-53.041413736,-60.5724029544,7.6932996505,-22.056505612,32.3172472978,-47.5940496664,-0.610938530273,-30.5437922968,-18.0962945539,35.5751527325,-3.26462511431,-8.82716952227,-7.16802116838,-27.9278428977,4.01657091519,-11.6622582954,34.942445172,-10.3768134522,-26.337385213,2.70935326296,-0.936154479616
1,1998.42424219,2.55040783963,2092.98334375,2049.56947656,-35.2117578432,8.28571212996,-0.901420684459,-37.4569634069,-28.7369385939,2114.68035938,2165.967375,-52.1174648999,-9.41235656556,27.1699411114,1.03266868693,0.844679653618,-11.2499915489,-27.13275778,-52.256359489,-85.7832421393,2117.45742969,2179.56023437,-36.158557525,-38.4335663727,2.695491364,3.59436187556,14.5322263825,-0.0621021767425,0.547234049345,17.3219503212,74.5906346089,24.6193036549,52.5197915517,-36.3601430109,-35.6178546095,2110.3774375,-11.2525184001,-57.4926694483,4.39130025942,-32.484551819,35.0535630676,-25.6234534202,-13.701799031,-1.04345915213,-26.1964983371,-5.2259689626,41.4750112699,24.3189217036,9.24443378605,11.8789232143,25.3420993678,18.6821000078,12.7933362647,32.7357868077,68.0966065245,-34.7895424378,33.6434944771,-7.92694323069,4.45996350578,-21.3299165496,27.8090818203,2.91409408722,-1.60201206856,2.02343274345
2,2076.81761719,2.5273046613,1931.92575,2023.66835156,56.9259035943,-5.8179812432,0.0897147454353,55.4082695686,27.8166321391,1921.75557813,1836.204625,56.900097297,-0.943306585852,-31.2069898022,0.419120971733,0.823132497392,17.6799786752,74.7280067469,68.316564147,127.983863285,1888.92533594,1805.76660937,55.6533075671,55.24937428,21.4954282925,-17.6091188418,-18.4872998153,-0.0444116009069,-0.350267036225,-26.4217954545,-101.652065748,-46.8586516126,-61.0766429479,73.1930516718,71.8577955658,1968.94771875,33.4764079232,84.2228098886,5.34019717758,47.5506550348,-41.7588995491,42.6816804143,24.075499675,0.785670465427,55.0978981446,-6.72124496189,-68.9725709806,-14.2877494083,-9.60032191711,-18.6111650261,-22.9069340989,-7.67817151832,-24.9183209276,-35.2986814606,-83.5586803242,51.4983633577,-42.9776446638,14.7913590858,-12.2335171029,46.164350947,-37.5374329396,-20.0478353364,6.79151915769,-4.50009580981
ukbench00002.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2336.28696875,-97.2581094219,2338.25198437,1975.59419531,-76.3030572181,-40.0019652428,1.34306694476,-10.9365286398,-60.9640345782,1990.24585156,2013.8994375,-208.835898364,16.9983649789,-15.3810044767,-16.6406974351,6.34207276628,-2.82628370732,37.3674408643,67.4925270093,-115.275455637,2166.65178125,2296.5165625,-113.080590761,76.2061182264,115.272202963,54.5568181782,-5.19026785574,-3.95860794807,-0.569071414762,9.17202048132,-48.8924856879,69.2407412274,2.78669469363,47.5072723999,-146.333330141,2172.91454687,-170.931392798,1.667558345,9.82587495565,26.2807062801,46.464344853,-5.26480589366,0.402773159239,-12.9216963573,-13.5124421429,29.7132911759,44.1067466998,4.22881020399,12.200940711,-6.85470029812,-17.6584892582,-25.2741641846,52.8047640935,9.69523660743,-2.17309012934,8.22753790868,4.20335581054,-9.5258000513,-2.15067953516,5.81274047335,-29.7412811271,-15.9675927606,2.36729767508,-2.76060890206
1,2048.86752344,-24.5124140794,2005.10070313,2231.28745312,-18.4729646461,7.45295610712,1.08320232797,11.7435639916,-30.5304430472,2170.28317969,2244.86940625,-31.5877001118,-30.8682439227,-2.75162193933,-0.20961849072,0.19525287635,3.73457341629,4.71803921983,-19.6839846786,-49.2202701625,2100.18528125,1935.00280469,16.9518049563,30.2343172711,16.9332116808,13.3770239894,-1.46213849369,1.1736997749,0.654461144887,2.3209924033,-4.60940808265,93.9364124147,-4.84166698304,-1.08066420625,-14.7029081702,2014.27960156,-25.0925219595,15.0806754279,-14.5071104741,-24.9845574531,-46.8571872958,-36.8040829744,0.249422731979,4.22858470381,-2.46034560181,25.3866104146,41.1420026459,3.31342492298,14.090175364,-0.983134032873,5.98639363088,-29.2573370187,13.1415947711,-27.3425784023,-42.5094843802,9.38129874602,-7.62672006668,2.69419284603,-0.842014028215,9.72897196695,-24.6102864623,0.0183404587349,2.02131512304,0.247937409668
